RGB Code             HEX Code             English Name
144-144-144          #909090              Telegrey 1
130-137-143          #82898F              Telegrey 2
208-208-208          #D0D0D0              Telegrey 4
137-129-118          #898176              Pearl mouse grey
130-108-052          #826C34              Green brown
149-095-032          #955F20              Ochre brown
108-059-042          #6C3B2A              Signal brown
115-066-034          #734222              Clay brown
142-064-042          #8E402A              Copper brown
089-053-031          #59351F              Fawn brown
111-079-040          #6F4F28              Olive brown
091-058-041          #5B3A29              Nut brown
089-035-033          #592321              Red brown
056-044-030          #382C1E              Sepia brown
099-058-052          #633A34              Chestnut brown
076-047-039          #4C2F27              Mahogany brown
069-050-046          #45322E              Chocolate brown
064-058-058          #403A3A              Grey brown
033-033-033          #212121              Black brown
166-094-046          #A65E2E              Orange brown
121-085-061          #79553D              Beige brown
117-092-072          #755C48              Pale brown
078-059-049          #4E3B31              Terra brown
118-060-040          #763C28              Pearl copper
250-244-227          #FDF4E3              Cream
231-235-218          #E7EBDA              Grey white
244-244-244          #F4F4F4              Signal white
040-040-040          #282828              Signal black
010-010-013          #0A0A0A              Jet black
165-165-165          #A5A5A5              White aluminium
143-143-143          #8F8F8F              Grey aluminium
255-255-255          #FFFFFF              Pure white
028-028-028          #1C1C1C              Graphite black
246-246-246          #F6F6F6              Traffic white
030-030-030          #1E1E1E              Traffic black
215-215-215          #D7D7D7              Papyrus white
156-156-156          #9C9C9C              Pearl light grey
130-130-130          #828282              Pearl dark grey
